target_pitch_type,target_pitch_label,feature,mean_beta,mean_abs_beta,pitchers,mean_target_rate
CH,changeup (CH),prev_description_bunt_foul_tip,0.1805268616524748,0.3896072542039341,7,0.1715016267627644
CH,changeup (CH),count_3-0,-0.11499162803668056,0.21504554588978123,78,0.1506406328383523
CH,changeup (CH),prev_pitch_type_UN,-0.08511005536639664,0.18597610548875743,4,0.14623760836010774
CH,changeup (CH),prev_description_missed_bunt,-0.07651695798761464,0.17372770070833218,41,0.15673805306780073
CH,changeup (CH),prev_description_swinging_strike_blocked,0.01511405960299682,0.1709546339072919,72,0.15076104599281448
CH,changeup (CH),count_3-1,-0.04249392903546849,0.1629942355869318,78,0.1506406328383523
CH,changeup (CH),count_0-2,0.06434464929365169,0.1524014932840507,78,0.1506406328383523
CH,changeup (CH),count_1-2,0.06516794009667173,0.1521061595846828,78,0.1506406328383523
CH,changeup (CH),prev_pitch_type_START,-0.02664469267417748,0.15122119599031764,78,0.1506406328383523
CH,changeup (CH),count_2-0,-0.014512183130847985,0.14962981977001233,78,0.1506406328383523
CH,changeup (CH),count_3-2,0.0036024598353966352,0.14743554696831188,78,0.1506406328383523
CH,changeup (CH),count_0-1,0.08089989707408372,0.1455430409043603,78,0.1506406328383523
CH,changeup (CH),count_1-1,0.08369442916259275,0.14500069102215232,78,0.1506406328383523
CH,changeup (CH),count_2-2,0.06122771529372733,0.14152576141932635,78,0.1506406328383523
CH,changeup (CH),stand_R,-0.015854803146095265,0.13910023150840656,78,0.1506406328383523
CH,changeup (CH),count_1-0,0.03074780693312804,0.12971225241745804,78,0.1506406328383523
CH,changeup (CH),count_2-1,0.03871285568489492,0.1296223961955316,78,0.1506406328383523
CH,changeup (CH),prev_description_foul_bunt,-0.029062597584469423,0.12910558319383503,78,0.1506406328383523
CH,changeup (CH),prev_description_pitchout,0.02531456700070146,0.109364575373735,12,0.17849604268802197
CH,changeup (CH),prev_pitch_type_PO,0.02531456700070138,0.10936457537373495,12,0.17849604268802197
CH,changeup (CH),prev_pitch_type_FC,-0.00584018355809346,0.09056652742141175,46,0.14443223332521954
CH,changeup (CH),prev_pitch_type_FS,-0.07236807010773373,0.0865352128227789,4,0.13897533760013747
CH,changeup (CH),prev_pitch_type_ST,-0.02317415559617286,0.08186442857670606,36,0.12931962480554354
CH,changeup (CH),prev_pitch_type_CU,0.02508234153296114,0.07792138639192311,52,0.16157685301460722
CH,changeup (CH),prev_pitch_type_SL,-0.02106586860144948,0.0733243680482203,64,0.1475607438453576
CH,changeup (CH),prev_description_foul_tip,0.0016555521090474716,0.06813937977165037,78,0.1506406328383523
CH,changeup (CH),prev_description_blocked_ball,0.03097831390139506,0.06502271808291321,78,0.1506406328383523
CH,changeup (CH),prev_pitch_type_SI,-0.009149790087503272,0.06482228057219085,68,0.1510716381767002
CH,changeup (CH),prev_pitch_type_KC,-0.056259345158132766,0.06274189806058827,10,0.07785053468265482
CH,changeup (CH),prev_pitch_type_FF,-0.024864729741931667,0.06141861222568163,76,0.1494824746428158
CH,changeup (CH),prev_pitch_type_CS,0.030628165827483168,0.051902317840954795,5,0.13617219428102945
CH,changeup (CH),prev_description_ball,0.019823812912096013,0.046477213013430864,78,0.1506406328383523
CH,changeup (CH),prev_description_foul,0.0031658153530308595,0.04213670284570984,78,0.1506406328383523
CH,changeup (CH),prev_description_called_strike,0.0086477664887635,0.040939065266762685,78,0.1506406328383523
CH,changeup (CH),prev_pitch_type_SV,-0.018188318947470708,0.0397625452314856,3,0.16196209176548168
CH,changeup (CH),prev_description_swinging_strike,-0.002390635242852627,0.03302946315335804,78,0.1506406328383523
CS,CS (CS),prev_pitch_type_ST,0.08277133257426844,0.08277133257426844,2,0.035777188386696225
CS,CS (CS),count_1-2,-0.019259652582208273,0.07913129528500466,3,0.04178293506919678
CS,CS (CS),count_3-1,-0.07477184947410022,0.07477184947410022,3,0.04178293506919678
CS,CS (CS),count_3-0,-0.07372079617141682,0.07372079617141682,3,0.04178293506919678
CS,CS (CS),count_0-2,-0.047444514058250696,0.07128086155899849,3,0.04178293506919678
CS,CS (CS),prev_pitch_type_FS,0.0686131662943468,0.0686131662943468,1,0.04789915966386555
CS,CS (CS),count_3-2,-0.0671975478482644,0.0671975478482644,3,0.04178293506919678
CS,CS (CS),count_0-1,-0.039275431115259975,0.06681475141094351,3,0.04178293506919678
CS,CS (CS),count_2-0,-0.0658720594493197,0.0658720594493197,3,0.04178293506919678
CS,CS (CS),count_2-2,-0.037905027949462655,0.05830272063533295,3,0.04178293506919678
CS,CS (CS),count_1-1,-0.04685334660043395,0.057618258791079006,3,0.04178293506919678
CS,CS (CS),prev_description_missed_bunt,-0.05344725223288269,0.05344725223288269,2,0.035777188386696225
CS,CS (CS),count_1-0,-0.04994029850879552,0.04994029850879552,3,0.04178293506919678
CS,CS (CS),count_2-1,-0.045880032339469856,0.045880032339469856,3,0.04178293506919678
CS,CS (CS),prev_pitch_type_SV,0.03963949913230314,0.03963949913230314,1,0.04789915966386555
CS,CS (CS),prev_description_foul_tip,0.026789581639965716,0.03804530612099504,3,0.04178293506919678
CS,CS (CS),prev_description_foul,0.031144443608664103,0.031144443608664103,3,0.04178293506919678
CS,CS (CS),prev_pitch_type_CS,-0.005669997778474073,0.030088200893745407,3,0.04178293506919678
CS,CS (CS),stand_R,0.029856553439097124,0.029856553439097124,3,0.04178293506919678
CS,CS (CS),prev_description_swinging_strike_blocked,-0.026015664748268528,0.02889471335723591,3,0.04178293506919678
CS,CS (CS),prev_pitch_type_SI,0.025836930978867842,0.025836930978867842,2,0.05084679404903172
CS,CS (CS),prev_pitch_type_FC,0.023863978123578777,0.023863978123578777,1,0.04789915966386555
CS,CS (CS),prev_description_foul_bunt,-0.023025658019844162,0.023025658019844162,3,0.04178293506919678
CS,CS (CS),prev_description_called_strike,0.022422320566550007,0.022422320566550007,3,0.04178293506919678
CS,CS (CS),prev_pitch_type_SL,0.010073490708882365,0.018301219147241903,3,0.04178293506919678
CS,CS (CS),prev_description_blocked_ball,-0.017997055810504137,0.017997055810504137,3,0.04178293506919678
CS,CS (CS),prev_pitch_type_START,-0.0009536033518372384,0.017536303019336452,3,0.04178293506919678
CS,CS (CS),prev_description_swinging_strike,0.013210276128244212,0.01707983612447518,3,0.04178293506919678
CS,CS (CS),prev_pitch_type_CU,0.011048744480097168,0.015902310615467173,3,0.04178293506919678
CS,CS (CS),prev_pitch_type_FF,0.0044930736267426675,0.014199478394209606,3,0.04178293506919678
CS,CS (CS),prev_description_ball,0.01005686147562123,0.01327623932162611,3,0.04178293506919678
CU,curveball (CU),count_3-0,-0.10654406389496802,0.19581654865081566,64,0.12688214060923125
CU,curveball (CU),prev_description_bunt_foul_tip,-0.18775887065363103,0.18775887065363103,5,0.14119659271499074
CU,curveball (CU),count_3-1,-0.06947721533772197,0.16579768945581305,64,0.12688214060923125
CU,curveball (CU),count_0-2,0.06432377455671201,0.15289612882439133,64,0.12688214060923125
CU,curveball (CU),prev_description_swinging_strike_blocked,0.058731176995445854,0.15277944438111507,60,0.12722565252165222
CU,curveball (CU),count_2-0,-0.04977760232078799,0.1522929932079305,64,0.12688214060923125
CU,curveball (CU),count_1-2,0.06318737881349971,0.1438227398926929,64,0.12688214060923125
CU,curveball (CU),prev_description_missed_bunt,-0.024538037171971668,0.1406505348705254,33,0.13784080442655952
CU,curveball (CU),count_3-2,-0.002048960740491818,0.14027185446010507,64,0.12688214060923125
CU,curveball (CU),count_2-1,-0.001983700769259464,0.13505444074168535,64,0.12688214060923125
CU,curveball (CU),count_2-2,0.045932261196445744,0.1329721819979506,64,0.12688214060923125
CU,curveball (CU),count_0-1,0.01945221127089782,0.12902892593195864,64,0.12688214060923125
CU,curveball (CU),count_1-0,-0.0022519096245771234,0.1277295389489259,64,0.12688214060923125
CU,curveball (CU),prev_pitch_type_START,0.053704528537938806,0.12770932956734832,64,0.12688214060923125
CU,curveball (CU),count_1-1,0.019379689656390732,0.1262340369623897,64,0.12688214060923125
CU,curveball (CU),prev_pitch_type_CS,-0.09434989705265062,0.12341275314549398,6,0.13986593014310808
CU,curveball (CU),prev_description_foul_bunt,-0.006083200479379452,0.11344292842545986,63,0.12540136601301363
CU,curveball (CU),prev_pitch_type_PO,0.0239865850548383,0.10849353609948144,13,0.11757721046233624
CU,curveball (CU),prev_description_pitchout,0.023986585054838885,0.10849353609948098,13,0.11757721046233624
CU,curveball (CU),stand_R,-0.04139671213821588,0.0807289435923375,64,0.12688214060923125
CU,curveball (CU),prev_description_foul_tip,-0.028919157055628333,0.07107783329930253,64,0.12688214060923125
CU,curveball (CU),prev_pitch_type_FS,-0.04345801495865582,0.0672938101212921,16,0.11700635785196914
CU,curveball (CU),prev_pitch_type_CU,0.026173227174764644,0.06613887490719851,53,0.12800428773095016
CU,curveball (CU),prev_pitch_type_ST,0.0033609939025487,0.05599174417367973,28,0.1148376464004277
CU,curveball (CU),prev_pitch_type_UN,-0.05530316649770656,0.05530316649770656,1,0.04807275877003032
CU,curveball (CU),prev_pitch_type_FC,0.016039302783522114,0.05210820380242566,40,0.13082136850059206
CU,curveball (CU),prev_pitch_type_SL,-0.0032930324926897683,0.052080109917940515,52,0.1218386963291885
CU,curveball (CU),prev_pitch_type_SI,0.028523399153524507,0.05180081233568428,55,0.12623386556157393
CU,curveball (CU),prev_description_blocked_ball,-0.004822749083228412,0.05158457944771539,64,0.12688214060923125
CU,curveball (CU),prev_pitch_type_FF,0.028674046600931865,0.048617826379043654,63,0.12741689095668554
CU,curveball (CU),prev_description_swinging_strike,-0.01568132349464682,0.04643315306684405,64,0.12688214060923125
CU,curveball (CU),prev_description_foul,-0.011186969995583416,0.041864439844455835,64,0.12688214060923125
CU,curveball (CU),prev_description_called_strike,-0.007616639255927545,0.03916045953955197,64,0.12688214060923125
CU,curveball (CU),prev_pitch_type_SV,0.0023470690602432308,0.038455472069314586,2,0.15950364506428144
CU,curveball (CU),prev_description_ball,-0.012101205516917207,0.03829659034085132,64,0.12688214060923125
FC,cutter (FC),count_3-0,-0.0349923706843448,0.19654658723612412,55,0.14267049691485587
FC,cutter (FC),prev_description_missed_bunt,0.03042733739470978,0.18781722656308694,24,0.1466834125017353
FC,cutter (FC),count_3-1,0.09800336940659257,0.1849345463966462,55,0.14267049691485587
FC,cutter (FC),count_0-2,-0.027644184079033803,0.18282366052016477,55,0.14267049691485587
FC,cutter (FC),count_1-2,-0.02352306287095826,0.1781073543225304,55,0.14267049691485587
FC,cutter (FC),count_2-0,0.09174283932482355,0.17715274250721935,55,0.14267049691485587
FC,cutter (FC),prev_pitch_type_UN,-0.17584567900058432,0.17584567900058432,3,0.11759713535471499
FC,cutter (FC),count_2-2,-0.010276551418170585,0.16916907356522892,55,0.14267049691485587
FC,cutter (FC),count_3-2,0.025627357345555466,0.16810639379662445,55,0.14267049691485587
FC,cutter (FC),count_2-1,0.061430721305997416,0.16540976145160993,55,0.14267049691485587
FC,cutter (FC),count_0-1,0.037399510656511294,0.16370825597665908,55,0.14267049691485587
FC,cutter (FC),count_1-0,0.0589812825815859,0.16296512812658434,55,0.14267049691485587
FC,cutter (FC),count_1-1,0.04123732454456557,0.16126688089538835,55,0.14267049691485587
FC,cutter (FC),prev_pitch_type_START,0.027996869232582346,0.1558028813736457,55,0.14267049691485587
FC,cutter (FC),prev_description_foul_bunt,0.011737644914186142,0.1318609679406075,54,0.14271678500270618
FC,cutter (FC),prev_description_bunt_foul_tip,-0.12564808858613818,0.1282085479491746,5,0.1640924170399238
FC,cutter (FC),prev_description_swinging_strike_blocked,-0.02838608468006178,0.1140970385442403,52,0.14326500249904844
FC,cutter (FC),prev_pitch_type_CS,-0.10142639483939121,0.1032424541291838,3,0.16084229006452835
FC,cutter (FC),prev_pitch_type_FC,-0.004665948854312828,0.08185424842475897,54,0.14359714354388342
FC,cutter (FC),prev_pitch_type_SL,-0.07296211384172074,0.08147183346330356,40,0.14346886905919085
FC,cutter (FC),prev_pitch_type_PO,-0.024678703970313385,0.06563895485210017,9,0.11870938532918797
FC,cutter (FC),prev_description_pitchout,-0.02467870397031332,0.06563895485209993,9,0.11870938532918797
FC,cutter (FC),stand_R,0.00753056982627532,0.06350460853407464,55,0.14267049691485587
FC,cutter (FC),prev_description_foul_tip,-0.002602434660647014,0.06320334378349803,55,0.14267049691485587
FC,cutter (FC),prev_description_blocked_ball,0.009705243672474074,0.05672727425889208,55,0.14267049691485587
FC,cutter (FC),prev_pitch_type_SV,-0.053884011839530274,0.053884011839530274,2,0.09941950464396285
FC,cutter (FC),prev_pitch_type_ST,-0.03727970118895635,0.04864912376827647,29,0.13890717850554826
FC,cutter (FC),prev_pitch_type_CU,-0.022742063721054737,0.04678087423688921,31,0.14565550892034165
FC,cutter (FC),prev_pitch_type_SI,-0.012903046537513231,0.04622500902390255,49,0.14767014986227373
FC,cutter (FC),prev_description_called_strike,-0.002143134592341675,0.044379383739180274,55,0.14267049691485587
FC,cutter (FC),prev_description_foul,-0.007043152170413773,0.04414568330535376,55,0.14267049691485587
FC,cutter (FC),prev_pitch_type_FS,0.019102979726222092,0.044144505685743164,11,0.15750095761357297
FC,cutter (FC),prev_description_ball,0.007005402648754778,0.041821780328945804,55,0.14267049691485587
FC,cutter (FC),prev_pitch_type_FF,-0.006817574086343608,0.03819267692529308,54,0.14150078974745287
FC,cutter (FC),prev_description_swinging_strike,-0.015421771236086245,0.03815305191165455,55,0.14267049691485587
FC,cutter (FC),prev_pitch_type_KC,-0.015316340970115964,0.020856198162291874,4,0.12167478495493045
FF,4-seam fastball (FF),prev_pitch_type_UN,0.026473769045610357,0.4566057504705536,5,0.3705399925224054
FF,4-seam fastball (FF),prev_description_bunt_foul_tip,0.17519306774168514,0.38321991139557543,8,0.3083341117366705
FF,4-seam fastball (FF),count_3-0,0.3370611285097978,0.3675825888268731,96,0.33159057514727214
FF,4-seam fastball (FF),prev_description_missed_bunt,0.083918074941009,0.30507413714919784,46,0.30441824709677395
FF,4-seam fastball (FF),prev_description_pitchout,-0.016363536852906813,0.22384181062574965,14,0.3291775342994869
FF,4-seam fastball (FF),prev_pitch_type_PO,-0.01636353685290618,0.22384181062574915,14,0.3291775342994869
FF,4-seam fastball (FF),count_0-1,-0.09151004020024822,0.2157094221390443,96,0.33159057514727214
FF,4-seam fastball (FF),prev_description_foul_bunt,0.027969964891888625,0.21079683089809334,95,0.3311439802118003
FF,4-seam fastball (FF),count_1-2,-0.08243601353961282,0.21074231770508012,96,0.33159057514727214
FF,4-seam fastball (FF),count_0-2,-0.07054142651566504,0.2105145852022411,96,0.33159057514727214
FF,4-seam fastball (FF),count_2-2,-0.07488976733402783,0.21046440533742714,96,0.33159057514727214
FF,4-seam fastball (FF),count_1-1,-0.08620751153091334,0.20686070425979405,96,0.33159057514727214
FF,4-seam fastball (FF),prev_description_swinging_strike_blocked,-0.05645103230558725,0.20559451185173253,89,0.32630552251108813
FF,4-seam fastball (FF),count_3-1,0.05575861996101509,0.2052962303790192,96,0.33159057514727214
FF,4-seam fastball (FF),count_2-0,0.020992644270264937,0.20124766618338738,96,0.33159057514727214
FF,4-seam fastball (FF),prev_pitch_type_START,-0.056048137106085805,0.19934531980606343,96,0.33159057514727214
FF,4-seam fastball (FF),count_2-1,-0.048276771969721216,0.19829478091067898,96,0.33159057514727214
FF,4-seam fastball (FF),count_3-2,0.004616045031049558,0.1934646452932058,96,0.33159057514727214
FF,4-seam fastball (FF),count_1-0,-0.037142245583347645,0.1924687762917663,96,0.33159057514727214
FF,4-seam fastball (FF),prev_pitch_type_CS,0.11362417980938792,0.12983569021480748,6,0.30426752969230414
FF,4-seam fastball (FF),prev_description_foul_tip,0.061753722422881345,0.1106890903798856,96,0.33159057514727214
FF,4-seam fastball (FF),prev_pitch_type_FS,0.0521966967811223,0.11066267969206489,21,0.32524161678055347
FF,4-seam fastball (FF),prev_pitch_type_SI,-0.09068392616023119,0.10829926938812166,85,0.31264771499130695
FF,4-seam fastball (FF),prev_pitch_type_FC,-0.04911157562456001,0.10315977120648627,56,0.30242511262058713
FF,4-seam fastball (FF),prev_description_blocked_ball,-0.03615449503911187,0.08703705652222705,96,0.33159057514727214
FF,4-seam fastball (FF),stand_R,-0.042580607332632726,0.08146783521024954,96,0.33159057514727214
FF,4-seam fastball (FF),prev_pitch_type_ST,-0.047239668790560754,0.07614629249767411,47,0.32877372004458255
FF,4-seam fastball (FF),prev_description_swinging_strike,0.03206448429632575,0.07440675105089102,96,0.33159057514727214
FF,4-seam fastball (FF),prev_pitch_type_SL,-0.02087170148621055,0.07129795493790526,78,0.3459760555895737
FF,4-seam fastball (FF),prev_pitch_type_FF,-0.0019138282044681044,0.07088133880570753,91,0.3272265484407203
FF,4-seam fastball (FF),prev_pitch_type_KC,-0.017102866741662122,0.06700200547667788,13,0.39021438488221755
FF,4-seam fastball (FF),prev_description_foul,0.010410097732929805,0.06443039704587253,96,0.33159057514727214
FF,4-seam fastball (FF),prev_description_ball,-0.03125634384996782,0.06329348075979781,96,0.33159057514727214
FF,4-seam fastball (FF),prev_pitch_type_CU,-0.024791222971221587,0.06163431710704858,53,0.32968863141852056
FF,4-seam fastball (FF),prev_description_called_strike,-0.008536945777926571,0.05789683883747911,96,0.33159057514727214
FF,4-seam fastball (FF),prev_pitch_type_SV,0.013767390947011793,0.023489417798002656,4,0.2106801707229127
FS,splitter (FS),prev_description_missed_bunt,0.05658385743991613,0.2591908595500682,9,0.17140654391697802
FS,splitter (FS),count_3-0,-0.12924556652203123,0.20793866438741165,18,0.18738253213970857
FS,splitter (FS),count_1-2,0.14340988640701785,0.19281859108204008,18,0.18738253213970857
FS,splitter (FS),count_0-2,0.14279769435252926,0.18988358536882202,18,0.18738253213970857
FS,splitter (FS),count_3-1,-0.07722394695935736,0.18452927445204864,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_CS,-0.17894320684524043,0.17894320684524043,1,0.2090818363273453
FS,splitter (FS),count_2-0,-0.07479315355757926,0.1748181943198911,18,0.18738253213970857
FS,splitter (FS),count_2-2,0.10660527363431882,0.1588126398010629,18,0.18738253213970857
FS,splitter (FS),count_3-2,-0.020287359423806516,0.1475397634419988,18,0.18738253213970857
FS,splitter (FS),prev_description_foul_bunt,0.0060055289412439435,0.14095828296802074,18,0.18738253213970857
FS,splitter (FS),count_2-1,0.006264488563718521,0.1382870443556619,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_START,-0.054272455021855084,0.13659017790311273,18,0.18738253213970857
FS,splitter (FS),count_1-1,0.0921217098707054,0.12959863070610317,18,0.18738253213970857
FS,splitter (FS),prev_description_swinging_strike_blocked,-0.006040621290244643,0.12941756272209692,16,0.1836118529923316
FS,splitter (FS),stand_R,-0.08256863080397762,0.1215869397886522,18,0.18738253213970857
FS,splitter (FS),count_0-1,0.09045179001484974,0.12017591277985441,18,0.18738253213970857
